scenario,step,lane_id,queue_length,waiting_time,vehicle_count,throughput,signal_phase,emergency_count,accident_alert
normal,0,north,0,0,4,4,north,0,False
normal,0,east,4,12,4,0,north,0,False
normal,0,south,3,9,3,0,north,0,False
normal,0,west,3,9,3,0,north,0,False
normal,1,north,2,6,2,0,east,0,False
normal,1,east,0,0,1,5,east,0,False
normal,1,south,7,21,4,0,east,0,False
normal,1,west,6,18,3,0,east,0,False
normal,2,north,6,18,4,0,south,0,False
normal,2,east,3,9,3,0,south,0,False
normal,2,south,3,9,1,5,south,0,False
normal,2,west,7,21,1,0,south,0,False
normal,3,north,6,18,0,0,west,0,False
normal,3,east,5,15,2,0,west,0,False
normal,3,south,8,24,5,0,west,0,False
normal,3,west,4,12,2,5,west,0,False
normal,4,north,8,24,2,0,south,0,False
normal,4,east,5,15,0,0,south,0,False
normal,4,south,3,9,0,5,south,0,False
normal,4,west,4,12,0,0,south,0,False
normal,5,north,7,21,4,5,north,0,False
normal,5,east,8,24,3,0,north,0,False
normal,5,south,8,24,5,0,north,0,False
normal,5,west,7,21,3,0,north,0,False
normal,6,north,7,21,0,0,south,0,False
normal,6,east,10,30,2,0,south,0,False
normal,6,south,4,12,1,5,south,0,False
normal,6,west,9,27,2,0,south,0,False
normal,7,north,7,21,0,0,east,0,False
normal,7,east,7,21,2,5,east,0,False
normal,7,south,5,15,1,0,east,0,False
normal,7,west,13,39,4,0,east,0,False
normal,8,north,8,24,1,0,west,0,False
normal,8,east,9,27,2,0,west,0,False
normal,8,south,6,18,1,0,west,0,False
normal,8,west,11,33,3,5,west,0,False
normal,9,north,10,30,2,0,west,0,False
normal,9,east,10,30,1,0,west,0,False
normal,9,south,8,24,2,0,west,0,False
normal,9,west,8,24,2,5,west,0,False
normal,10,north,7,21,2,5,north,0,False
normal,10,east,10,30,0,0,north,0,False
normal,10,south,12,36,4,0,north,0,False
normal,10,west,8,24,0,0,north,0,False
normal,11,north,12,36,5,0,south,0,False
normal,11,east,13,39,3,0,south,0,False
normal,11,south,10,30,3,5,south,0,False
normal,11,west,11,33,3,0,south,0,False
normal,12,north,14,42,2,0,east,0,False
normal,12,east,9,27,1,5,east,0,False
normal,12,south,13,39,3,0,east,0,False
normal,12,west,11,33,0,0,east,0,False
normal,13,north,12,36,3,5,north,0,False
normal,13,east,10,30,1,0,north,0,False
normal,13,south,16,48,3,0,north,0,False
normal,13,west,13,39,2,0,north,0,False
normal,14,north,12,36,0,0,south,0,False
normal,14,east,11,33,1,0,south,0,False
normal,14,south,14,42,3,5,south,0,False
normal,14,west,15,45,2,0,south,0,False
normal,15,north,12,36,0,0,west,0,False
normal,15,east,12,36,1,0,west,0,False
normal,15,south,17,51,3,0,west,0,False
normal,15,west,11,33,1,5,west,0,False
normal,16,north,17,51,5,0,south,0,False
normal,16,east,13,39,1,0,south,0,False
normal,16,south,16,48,4,5,south,0,False
normal,16,west,14,42,3,0,south,0,False
normal,17,north,14,42,2,5,north,0,False
normal,17,east,17,51,4,0,north,0,False
normal,17,south,20,60,4,0,north,0,False
normal,17,west,15,45,1,0,north,0,False
normal,18,north,14,42,0,0,south,0,False
normal,18,east,20,60,3,0,south,0,False
normal,18,south,17,51,2,5,south,0,False
normal,18,west,16,48,1,0,south,0,False
normal,19,north,14,42,0,0,east,0,False
normal,19,east,16,48,1,5,east,0,False
normal,19,south,23,69,6,0,east,0,False
normal,19,west,17,51,1,0,east,0,False
normal,20,north,15,45,1,0,south,0,False
normal,20,east,17,51,1,0,south,0,False
normal,20,south,19,57,1,5,south,0,False
normal,20,west,18,54,1,0,south,0,False
normal,21,north,17,51,2,0,south,0,False
normal,21,east,18,54,1,0,south,0,False
normal,21,south,15,45,1,5,south,0,False
normal,21,west,18,54,0,0,south,0,False
normal,22,north,21,63,4,0,east,0,False
normal,22,east,13,39,0,5,east,0,False
normal,22,south,15,45,0,0,east,0,False
normal,22,west,18,54,0,0,east,0,False
normal,23,north,16,48,0,5,north,0,False
normal,23,east,16,48,3,0,north,0,False
normal,23,south,19,57,4,0,north,0,False
normal,23,west,18,54,0,0,north,0,False
normal,24,north,17,51,1,0,south,0,False
normal,24,east,17,51,1,0,south,0,False
normal,24,south,16,48,2,5,south,0,False
normal,24,west,18,54,0,0,south,0,False
normal,25,north,20,60,3,0,west,0,False
normal,25,east,18,54,1,0,west,0,False
normal,25,south,19,57,3,0,west,0,False
normal,25,west,14,42,1,5,west,0,False
normal,26,north,17,51,2,5,north,0,False
normal,26,east,20,60,2,0,north,0,False
normal,26,south,22,66,3,0,north,0,False
normal,26,west,14,42,0,0,north,0,False
normal,27,north,20,60,3,0,south,0,False
normal,27,east,21,63,1,0,south,0,False
normal,27,south,19,57,2,5,south,0,False
normal,27,west,17,51,3,0,south,0,False
normal,28,north,23,69,3,0,east,0,False
normal,28,east,17,51,1,5,east,0,False
normal,28,south,22,66,3,0,east,0,False
normal,28,west,19,57,2,0,east,0,False
normal,29,north,23,69,5,5,north,0,False
normal,29,east,18,54,1,0,north,0,False
normal,29,south,23,69,1,0,north,0,False
normal,29,west,21,63,2,0,north,0,False
normal,30,north,24,72,1,0,south,0,False
normal,30,east,19,57,1,0,south,0,False
normal,30,south,19,57,1,5,south,0,False
normal,30,west,22,66,1,0,south,0,False
normal,31,north,20,60,1,5,north,0,False
normal,31,east,21,63,2,0,north,0,False
normal,31,south,20,60,1,0,north,0,False
normal,31,west,22,66,0,0,north,0,False
normal,32,north,23,69,3,0,west,0,False
normal,32,east,21,63,0,0,west,0,False
normal,32,south,20,60,0,0,west,0,False
normal,32,west,19,57,2,5,west,0,False
normal,33,north,19,57,1,5,north,0,False
normal,33,east,21,63,0,0,north,0,False
normal,33,south,21,63,1,0,north,0,False
normal,33,west,21,63,2,0,north,0,False
normal,34,north,20,60,1,0,south,0,False
normal,34,east,24,72,3,0,south,0,False
normal,34,south,16,48,0,5,south,0,False
normal,34,west,23,69,2,0,south,0,False
normal,35,north,23,69,3,0,east,0,False
normal,35,east,19,57,0,5,east,0,False
normal,35,south,19,57,3,0,east,0,False
normal,35,west,24,72,1,0,east,0,False
normal,36,north,24,72,1,0,west,0,False
normal,36,east,19,57,0,0,west,0,False
normal,36,south,20,60,1,0,west,0,False
normal,36,west,19,57,0,5,west,0,False
normal,37,north,20,60,1,5,north,0,False
normal,37,east,23,69,4,0,north,0,False
normal,37,south,21,63,1,0,north,0,False
normal,37,west,21,63,2,0,north,0,False
normal,38,north,22,66,2,0,east,0,False
normal,38,east,19,57,1,5,east,0,False
normal,38,south,22,66,1,0,east,0,False
normal,38,west,22,66,1,0,east,0,False
normal,39,north,22,66,0,0,south,0,False
normal,39,east,21,63,2,0,south,0,False
normal,39,south,19,57,2,5,south,0,False
normal,39,west,26,78,4,0,south,0,False
normal,40,north,23,69,1,0,west,0,False
normal,40,east,23,69,2,0,west,0,False
normal,40,south,27,81,8,0,west,0,False
normal,40,west,22,66,1,5,west,0,False
normal,41,north,23,69,0,0,south,0,False
normal,41,east,24,72,1,0,south,0,False
normal,41,south,23,69,1,5,south,0,False
normal,41,west,28,84,6,0,south,0,False
normal,42,north,24,72,1,0,west,0,False
