timestamp,selected_phase,green_duration,reason,decision_latency_seconds,scenario,controller
0,north,3,dqn_policy,1.2e-05,normal,ai_controller
1,east,3,dqn_queue_pressure,8e-06,normal,ai_controller
2,south,3,dqn_policy,9e-06,normal,ai_controller
3,west,3,dqn_queue_pressure,8e-06,normal,ai_controller
4,south,3,dqn_policy,7e-06,normal,ai_controller
5,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
6,south,3,dqn_policy,1e-05,normal,ai_controller
7,east,3,dqn_queue_pressure,1e-05,normal,ai_controller
8,west,3,dqn_queue_pressure,8e-06,normal,ai_controller
9,west,3,dqn_queue_pressure,7e-06,normal,ai_controller
10,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
11,south,3,dqn_policy,7e-06,normal,ai_controller
12,east,3,dqn_queue_pressure,7e-06,normal,ai_controller
13,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
14,south,3,dqn_policy,7e-06,normal,ai_controller
15,west,3,dqn_queue_pressure,7e-06,normal,ai_controller
16,south,3,dqn_policy,7e-06,normal,ai_controller
17,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
18,south,3,dqn_policy,7e-06,normal,ai_controller
19,east,3,dqn_queue_pressure,6e-06,normal,ai_controller
20,south,3,dqn_policy,6e-06,normal,ai_controller
21,south,3,dqn_policy,6e-06,normal,ai_controller
22,east,3,dqn_queue_pressure,6e-06,normal,ai_controller
23,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
24,south,3,dqn_policy,6e-06,normal,ai_controller
25,west,3,dqn_queue_pressure,6e-06,normal,ai_controller
26,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
27,south,3,dqn_policy,6e-06,normal,ai_controller
28,east,3,dqn_queue_pressure,6e-06,normal,ai_controller
29,north,3,dqn_queue_pressure,6e-06,normal,ai_controller
30,south,3,dqn_policy,7e-06,normal,ai_controller
31,north,3,dqn_queue_pressure,7e-06,normal,ai_controller
