scenario,step,lane_id,queue_length,waiting_time,vehicle_count,throughput,signal_phase,emergency_count,accident_alert
normal,0,north,0,0,4,4,north,0,False
normal,0,east,4,12,4,0,north,0,False
normal,0,south,3,9,3,0,north,0,False
normal,0,west,3,9,3,0,north,0,False
normal,1,north,0,0,2,2,north,0,False
normal,1,east,5,15,1,0,north,0,False
normal,1,south,7,21,4,0,north,0,False
normal,1,west,6,18,3,0,north,0,False
normal,2,north,0,0,4,4,north,0,False
normal,2,east,8,24,3,0,north,0,False
normal,2,south,8,24,1,0,north,0,False
normal,2,west,7,21,1,0,north,0,False
normal,3,north,0,0,0,0,north,0,False
normal,3,east,10,30,2,0,north,0,False
normal,3,south,13,39,5,0,north,0,False
normal,3,west,9,27,2,0,north,0,False
normal,4,north,0,0,2,2,north,0,False
normal,4,east,10,30,0,0,north,0,False
normal,4,south,13,39,0,0,north,0,False
normal,4,west,9,27,0,0,north,0,False
normal,5,north,0,0,4,4,north,0,False
normal,5,east,13,39,3,0,north,0,False
normal,5,south,18,54,5,0,north,0,False
normal,5,west,12,36,3,0,north,0,False
normal,6,north,0,0,0,0,north,0,False
normal,6,east,15,45,2,0,north,0,False
normal,6,south,19,57,1,0,north,0,False
normal,6,west,14,42,2,0,north,0,False
normal,7,north,0,0,0,0,north,0,False
normal,7,east,17,51,2,0,north,0,False
normal,7,south,20,60,1,0,north,0,False
normal,7,west,18,54,4,0,north,0,False
normal,8,north,1,3,1,0,east,0,False
normal,8,east,14,42,2,5,east,0,False
normal,8,south,21,63,1,0,east,0,False
normal,8,west,21,63,3,0,east,0,False
normal,9,north,3,9,2,0,east,0,False
normal,9,east,10,30,1,5,east,0,False
normal,9,south,23,69,2,0,east,0,False
normal,9,west,23,69,2,0,east,0,False
normal,10,north,5,15,2,0,east,0,False
normal,10,east,5,15,0,5,east,0,False
normal,10,south,27,81,4,0,east,0,False
normal,10,west,23,69,0,0,east,0,False
normal,11,north,10,30,5,0,east,0,False
normal,11,east,3,9,3,5,east,0,False
normal,11,south,30,90,3,0,east,0,False
normal,11,west,26,78,3,0,east,0,False
normal,12,north,12,36,2,0,east,0,False
normal,12,east,0,0,1,4,east,0,False
normal,12,south,33,99,3,0,east,0,False
normal,12,west,26,78,0,0,east,0,False
normal,13,north,15,45,3,0,east,0,False
normal,13,east,0,0,1,1,east,0,False
normal,13,south,36,108,3,0,east,0,False
normal,13,west,28,84,2,0,east,0,False
normal,14,north,15,45,0,0,east,0,False
normal,14,east,0,0,1,1,east,0,False
normal,14,south,39,117,3,0,east,0,False
normal,14,west,30,90,2,0,east,0,False
normal,15,north,15,45,0,0,east,0,False
normal,15,east,0,0,1,1,east,0,False
normal,15,south,42,126,3,0,east,0,False
normal,15,west,31,93,1,0,east,0,False
normal,16,north,20,60,5,0,south,0,False
normal,16,east,1,3,1,0,south,0,False
normal,16,south,41,123,4,5,south,0,False
normal,16,west,34,102,3,0,south,0,False
normal,17,north,22,66,2,0,south,0,False
normal,17,east,5,15,4,0,south,0,False
normal,17,south,40,120,4,5,south,0,False
normal,17,west,35,105,1,0,south,0,False
normal,18,north,22,66,0,0,south,0,False
normal,18,east,8,24,3,0,south,0,False
normal,18,south,37,111,2,5,south,0,False
normal,18,west,36,108,1,0,south,0,False
normal,19,north,22,66,0,0,south,0,False
normal,19,east,9,27,1,0,south,0,False
normal,19,south,38,114,6,5,south,0,False
normal,19,west,37,111,1,0,south,0,False
normal,20,north,23,69,1,0,south,0,False
normal,20,east,10,30,1,0,south,0,False
normal,20,south,34,102,1,5,south,0,False
normal,20,west,38,114,1,0,south,0,False
normal,21,north,25,75,2,0,south,0,False
normal,21,east,11,33,1,0,south,0,False
normal,21,south,30,90,1,5,south,0,False
normal,21,west,38,114,0,0,south,0,False
normal,22,north,29,87,4,0,south,0,False
normal,22,east,11,33,0,0,south,0,False
normal,22,south,25,75,0,5,south,0,False
normal,22,west,38,114,0,0,south,0,False
normal,23,north,29,87,0,0,south,0,False
normal,23,east,14,42,3,0,south,0,False
normal,23,south,24,72,4,5,south,0,False
normal,23,west,38,114,0,0,south,0,False
normal,24,north,30,90,1,0,west,0,False
normal,24,east,15,45,1,0,west,0,False
normal,24,south,26,78,2,0,west,0,False
normal,24,west,33,99,0,5,west,0,False
normal,25,north,33,99,3,0,west,0,False
normal,25,east,16,48,1,0,west,0,False
normal,25,south,29,87,3,0,west,0,False
normal,25,west,29,87,1,5,west,0,False
normal,26,north,35,105,2,0,west,0,False
normal,26,east,18,54,2,0,west,0,False
normal,26,south,32,96,3,0,west,0,False
normal,26,west,24,72,0,5,west,0,False
normal,27,north,38,114,3,0,west,0,False
normal,27,east,19,57,1,0,west,0,False
normal,27,south,34,102,2,0,west,0,False
normal,27,west,22,66,3,5,west,0,False
normal,28,north,41,123,3,0,west,0,False
normal,28,east,20,60,1,0,west,0,False
normal,28,south,37,111,3,0,west,0,False
normal,28,west,19,57,2,5,west,0,False
normal,29,north,46,138,5,0,west,0,False
normal,29,east,21,63,1,0,west,0,False
normal,29,south,38,114,1,0,west,0,False
normal,29,west,16,48,2,5,west,0,False
normal,30,north,47,141,1,0,west,0,False
normal,30,east,22,66,1,0,west,0,False
normal,30,south,39,117,1,0,west,0,False
normal,30,west,12,36,1,5,west,0,False
normal,31,north,48,144,1,0,west,0,False
normal,31,east,24,72,2,0,west,0,False
normal,31,south,40,120,1,0,west,0,False
normal,31,west,7,21,0,5,west,0,False
normal,32,north,46,138,3,5,north,0,False
normal,32,east,24,72,0,0,north,0,False
normal,32,south,40,120,0,0,north,0,False
normal,32,west,9,27,2,0,north,0,False
normal,33,north,42,126,1,5,north,0,False
normal,33,east,24,72,0,0,north,0,False
normal,33,south,41,123,1,0,north,0,False
normal,33,west,11,33,2,0,north,0,False
normal,34,north,38,114,1,5,north,0,False
normal,34,east,27,81,3,0,north,0,False
normal,34,south,41,123,0,0,north,0,False
normal,34,west,13,39,2,0,north,0,False
normal,35,north,36,108,3,5,north,0,False
normal,35,east,27,81,0,0,north,0,False
normal,35,south,44,132,3,0,north,0,False
normal,35,west,14,42,1,0,north,0,False
normal,36,north,32,96,1,5,north,0,False
normal,36,east,27,81,0,0,north,0,False
normal,36,south,45,135,1,0,north,0,False
normal,36,west,14,42,0,0,north,0,False
normal,37,north,28,84,1,5,north,0,False
normal,37,east,31,93,4,0,north,0,False
normal,37,south,46,138,1,0,north,0,False
normal,37,west,16,48,2,0,north,0,False
normal,38,north,25,75,2,5,north,0,False
normal,38,east,32,96,1,0,north,0,False
normal,38,south,47,141,1,0,north,0,False
normal,38,west,17,51,1,0,north,0,False
normal,39,north,20,60,0,5,north,0,False
normal,39,east,34,102,2,0,north,0,False
normal,39,south,49,147,2,0,north,0,False
normal,39,west,21,63,4,0,north,0,False
normal,40,north,21,63,1,0,east,0,False
normal,40,east,31,93,2,5,east,0,False
normal,40,south,57,171,8,0,east,0,False
normal,40,west,22,66,1,0,east,0,False
normal,41,north,21,63,0,0,east,0,False
normal,41,east,27,81,1,5,east,0,False
normal,41,south,58,174,1,0,east,0,False
normal,41,west,28,84,6,0,east,0,False
normal,42,north,22,66,1,0,east,0,False
