timestamp,lane_id,car_count,bus_count,truck_count,motorcycle_count,emergency_count
0,east,12,2,2,1,0
0,north,13,2,2,2,0
0,south,10,2,2,1,0
0,west,8,1,1,2,0
1,east,7,1,1,2,0
1,north,12,2,2,2,0
1,south,12,2,2,2,0
1,west,10,1,2,1,0
2,east,8,1,1,2,0
2,north,8,1,1,2,0
2,south,4,1,1,0,0
2,west,6,1,1,1,0
3,east,9,1,2,1,0
3,north,10,1,2,1,0
3,south,10,1,2,1,0
3,west,5,1,1,0,0
4,east,7,1,1,1,0
4,north,6,1,1,1,0
4,south,10,2,2,1,0
4,west,4,1,1,0,0
5,east,8,1,1,2,0
5,north,12,2,2,1,0
5,south,10,2,2,1,0
5,west,7,1,1,2,0
6,east,9,1,2,1,0
6,north,5,1,1,1,0
6,south,6,1,1,1,0
6,west,7,1,1,2,0
7,east,5,1,1,0,0
7,north,7,1,1,2,0
7,south,6,1,1,1,0
7,west,12,2,2,2,0
8,east,7,1,1,2,0
8,north,5,1,1,1,0
8,south,4,1,1,0,0
8,west,10,2,2,1,0
9,east,11,2,2,1,0
9,north,10,1,2,1,0
9,south,5,1,1,1,0
9,west,10,2,2,1,0
10,east,9,1,2,1,0
10,north,10,2,2,1,0
10,south,10,2,2,1,0
10,west,5,1,1,1,0
11,east,5,1,1,1,0
11,north,11,2,2,1,0
11,south,8,1,1,2,0
11,west,6,1,1,1,0
12,east,5,1,1,1,0
12,north,10,1,2,1,0
12,south,8,1,1,2,0
12,west,3,0,1,1,0
13,east,2,0,0,1,0
13,north,12,2,2,2,0
13,south,7,1,1,2,0
13,west,7,1,1,2,0
14,east,9,1,2,1,0
14,north,6,1,1,1,0
14,south,10,2,2,1,0
14,west,5,1,1,0,0
15,east,10,2,2,1,0
15,north,7,1,1,2,0
15,south,11,2,2,1,0
15,west,5,1,1,0,0
16,east,7,1,1,2,0
16,north,12,2,2,1,0
16,south,9,1,2,1,0
16,west,6,1,1,1,0
17,east,5,1,1,1,0
17,north,8,1,1,2,0
17,south,7,1,1,1,0
17,west,9,1,2,1,0
18,east,7,1,1,1,0
18,north,3,0,0,1,0
18,south,5,1,1,1,0
18,west,4,1,1,0,0
19,east,5,1,1,1,0
19,north,7,1,1,1,0
19,south,10,1,2,1,0
19,west,4,1,1,0,0
20,east,3,0,1,1,0
20,north,11,2,2,1,0
20,south,5,1,1,0,0
20,west,4,1,1,0,0
21,east,9,1,2,1,0
21,north,8,1,1,2,0
21,south,3,0,1,1,0
21,west,5,1,1,1,0
22,east,11,2,2,1,0
22,north,12,2,2,2,0
22,south,7,1,1,1,0
22,west,6,1,1,1,0
23,east,5,1,1,1,0
23,north,7,1,1,1,0
23,south,8,1,1,2,0
23,west,6,1,1,1,0
24,east,6,1,1,1,1
24,north,9,1,2,1,0
24,south,8,1,1,2,0
24,west,3,0,0,1,0
25,east,4,1,1,0,0
25,north,10,1,2,1,0
25,south,6,1,1,1,0
25,west,6,1,1,1,0
26,east,7,1,1,2,0
26,north,7,1,1,2,0
26,south,9,1,2,1,0
26,west,3,0,1,1,0
27,east,6,1,1,1,0
27,north,8,1,1,2,0
27,south,7,1,1,1,0
27,west,6,1,1,1,0
28,east,7,1,1,2,0
28,north,3,0,1,1,0
28,south,9,1,2,1,0
28,west,5,1,1,1,0
29,east,8,1,1,2,0
29,north,8,1,1,2,0
29,south,7,1,1,2,0
29,west,7,1,1,1,0
30,east,7,1,1,2,0
30,north,10,2,2,1,0
30,south,9,1,2,1,0
30,west,6,1,1,1,0
31,east,5,1,1,0,0
31,north,6,1,1,1,0
31,south,8,1,1,2,0
31,west,4,1,1,0,0
32,east,4,1,1,0,0
32,north,7,1,1,2,0
32,south,4,1,1,0,0
32,west,9,1,2,1,0
33,east,6,1,1,1,0
33,north,7,1,1,1,0
33,south,7,1,1,2,0
33,west,7,1,1,1,0
34,east,8,1,1,2,0
34,north,10,1,2,1,0
34,south,8,1,1,2,0
34,west,10,1,2,1,0
35,east,3,0,1,1,0
35,north,6,1,1,1,0
35,south,10,1,2,1,0
35,west,8,1,1,2,0
36,east,5,1,1,1,0
36,north,4,1,1,0,0
36,south,4,1,1,0,0
36,west,5,1,1,0,0
37,east,7,1,1,1,0
37,north,9,1,2,1,0
37,south,7,1,1,1,0
37,west,5,1,1,1,0
38,east,5,1,1,1,0
38,north,9,1,2,1,0
38,south,6,1,1,1,0
38,west,7,1,1,1,0
39,east,5,1,1,0,0
39,north,5,1,1,1,0
39,south,5,1,1,0,0
39,west,6,1,1,1,0
40,east,5,1,1,1,0
40,north,5,1,1,1,0
40,south,11,2,2,1,0
40,west,4,1,1,0,0
41,east,8,1,1,2,0
41,north,4,1,1,0,0
41,south,7,1,1,2,0
41,west,13,2,2,2,0
42,east,7,1,1,2,0
42,north,9,1,2,1,0
42,south,7,1,1,2,0
42,west,4,1,1,0,0
43,east,6,1,1,1,0
43,north,10,2,2,1,0
43,south,7,1,1,2,0
43,west,5,1,1,1,0
44,east,3,0,1,1,0
44,north,7,1,1,1,0
44,south,5,1,1,0,0
44,west,6,1,1,1,0
45,east,11,2,2,1,0
45,north,8,1,1,2,0
45,south,3,0,1,1,0
45,west,3,0,0,1,0
46,east,5,1,1,1,0
46,north,4,1,1,0,0
46,south,13,2,2,2,0
46,west,7,1,1,1,0
47,east,4,1,1,0,0
47,north,10,2,2,1,0
47,south,8,1,1,2,0
47,west,7,1,1,2,0
48,east,4,1,1,0,0
48,north,3,0,1,1,0
48,south,8,1,1,2,0
48,west,9,1,2,1,0
49,east,8,1,1,2,0
49,north,6,1,1,1,0
49,south,5,1,1,1,0
49,west,7,1,1,1,0
50,east,7,1,1,1,0
50,north,3,0,1,1,0
50,south,8,1,1,2,0
50,west,11,2,2,1,0
51,east,3,0,1,1,0
51,north,3,0,0,1,0
51,south,5,1,1,1,0
51,west,7,1,1,2,0
52,east,4,1,1,0,0
52,north,7,1,1,1,0
52,south,12,2,2,2,0
52,west,7,1,1,2,0
53,east,9,1,2,1,0
53,north,5,1,1,0,0
53,south,6,1,1,1,0
53,west,6,1,1,1,0
54,east,10,1,2,1,0
54,north,5,1,1,1,0
